id,label_manual
code:fastapi/exceptions.py:WebSocketRequestValidationError:162,1
code:fastapi/exceptions.py:__init__:109,1
code:fastapi/exceptions.py:__init__:149,1
code:fastapi/exceptions.py:__init__:157,1
code:fastapi/exceptions.py:__init__:167,1
code:fastapi/exceptions.py:__init__:36,1
code:fastapi/exceptions.py:__str__:171,1
code:fastapi/exceptions.py:errors:152,1
code:fastapi/middleware/asyncexitstack.py:AsyncExitStackMiddleware:7,1
code:fastapi/middleware/asyncexitstack.py:__call__:14,1
code:fastapi/middleware/asyncexitstack.py:__init__:8,1
code:fastapi/openapi/docs.py:get_redoc_html:160,1
code:fastapi/openapi/docs.py:get_swagger_ui_html:25,1
code:fastapi/openapi/docs.py:get_swagger_ui_oauth2_redirect_html:255,1
code:fastapi/openapi/models.py:APIKey:354,1
code:fastapi/openapi/models.py:APIKeyIn:348,1
code:fastapi/openapi/models.py:BaseModelWithConfig:57,1
code:fastapi/openapi/models.py:Components:414,1
code:fastapi/openapi/models.py:Config:232,1
code:fastapi/openapi/models.py:Config:63,1
code:fastapi/openapi/models.py:Contact:67,1
code:fastapi/openapi/models.py:Discriminator:105,1
code:fastapi/openapi/models.py:EmailStr:23,1
code:fastapi/openapi/models.py:Encoding:243,1
code:fastapi/openapi/models.py:Example:221,1
code:fastapi/openapi/models.py:ExternalDocumentation:118,1
code:fastapi/openapi/models.py:HTTPBase:360,1
code:fastapi/openapi/models.py:HTTPBearer:365,1
code:fastapi/openapi/models.py:Header:278,1
code:fastapi/openapi/models.py:Info:79,1
code:fastapi/openapi/models.py:License:73,1
code:fastapi/openapi/models.py:Link:288,1
code:fastapi/openapi/models.py:MediaType:251,1
code:fastapi/openapi/models.py:OAuth2:399,1
code:fastapi/openapi/models.py:OAuthFlow:370,1
code:fastapi/openapi/models.py:OAuthFlowAuthorizationCode:387,1
code:fastapi/openapi/models.py:OAuthFlowClientCredentials:383,1
code:fastapi/openapi/models.py:OAuthFlowImplicit:375,1
code:fastapi/openapi/models.py:OAuthFlowPassword:379,1
code:fastapi/openapi/models.py:OAuthFlows:392,1
code:fastapi/openapi/models.py:OpenAPI:434,1
code:fastapi/openapi/models.py:OpenIdConnect:404,1
code:fastapi/openapi/models.py:Operation:304,1
code:fastapi/openapi/models.py:Parameter:273,1
code:fastapi/openapi/models.py:ParameterBase:258,1
code:fastapi/openapi/models.py:ParameterInType:236,1
code:fastapi/openapi/models.py:PathItem:320,1
code:fastapi/openapi/models.py:Reference:101,1
code:fastapi/openapi/models.py:RequestBody:282,1
code:fastapi/openapi/models.py:Response:297,1
code:fastapi/openapi/models.py:Schema:129,1
code:fastapi/openapi/models.py:SecurityBase:343,1
code:fastapi/openapi/models.py:SecuritySchemeType:336,1
code:fastapi/openapi/models.py:Server:95,1
code:fastapi/openapi/models.py:ServerVariable:89,1
code:fastapi/openapi/models.py:Tag:428,1
code:fastapi/openapi/models.py:XML:110,1
code:fastapi/openapi/models.py:__get_pydantic_core_schema__:50,1
code:fastapi/openapi/models.py:__get_pydantic_json_schema__:44,1
code:fastapi/openapi/models.py:__get_validators__:24,1
code:fastapi/openapi/models.py:_validate:36,1
code:fastapi/openapi/models.py:validate:28,1
code:fastapi/openapi/utils.py:_get_openapi_operation_parameters:93,0
code:fastapi/openapi/utils.py:generate_operation_id:205,0
code:fastapi/openapi/utils.py:generate_operation_summary:220,0
code:fastapi/openapi/utils.py:get_fields_from_routes:444,0
code:fastapi/openapi/utils.py:get_openapi:475,0
code:fastapi/openapi/utils.py:get_openapi_operation_metadata:226,0
code:fastapi/openapi/utils.py:get_openapi_operation_request_body:168,0
code:fastapi/openapi/utils.py:get_openapi_path:252,0
code:fastapi/openapi/utils.py:get_openapi_security_definitions:76,0
code:fastapi/param_functions.py:Body:1262,1
code:fastapi/param_functions.py:Cookie:958,1
code:fastapi/param_functions.py:Depends:2219,1
code:fastapi/param_functions.py:File:1905,1
code:fastapi/param_functions.py:Form:1591,1
code:fastapi/param_functions.py:Header:642,1
code:fastapi/param_functions.py:Path:10,1
code:fastapi/param_functions.py:Query:338,1
code:fastapi/param_functions.py:Security:2279,1
code:fastapi/params.py:Body:478,1
code:fastapi/params.py:Cookie:394,1
code:fastapi/params.py:Depends:763,1
code:fastapi/params.py:File:679,1
code:fastapi/params.py:Form:595,1
code:fastapi/params.py:Header:308,1
code:fastapi/params.py:Param:24,1
code:fastapi/params.py:ParamTypes:17,1
code:fastapi/params.py:Path:138,1
code:fastapi/params.py:Query:224,1
code:fastapi/params.py:Security:776,1
code:fastapi/params.py:__init__:141,1
code:fastapi/params.py:__init__:227,1
code:fastapi/params.py:__init__:27,1
code:fastapi/params.py:__init__:311,1
code:fastapi/params.py:__init__:397,1
code:fastapi/params.py:__init__:479,1
code:fastapi/params.py:__init__:596,1
code:fastapi/params.py:__init__:680,1
code:fastapi/params.py:__init__:764,1
code:fastapi/params.py:__init__:777,1
code:fastapi/params.py:__repr__:134,1
code:fastapi/params.py:__repr__:591,1
code:fastapi/params.py:__repr__:770,1
code:fastapi/responses.py:ORJSONResponse:35,1
code:fastapi/responses.py:UJSONResponse:22,1
code:fastapi/responses.py:render:30,1
code:fastapi/responses.py:render:43,1
code:fastapi/routing.py:APIRoute:503,1
code:fastapi/routing.py:APIRouter:670,1
code:fastapi/routing.py:APIWebSocketRoute:463,1
code:fastapi/routing.py:__init__:464,1
code:fastapi/routing.py:__init__:504,1
code:fastapi/routing.py:__init__:697,1
code:fastapi/routing.py:_merge_lifespan_context:201,1
code:fastapi/routing.py:_prepare_response_content:153,1
code:fastapi/routing.py:add_api_route:956,1
code:fastapi/routing.py:add_api_websocket_route:1100,1
code:fastapi/routing.py:api_route:1038,1
code:fastapi/routing.py:app:102,1
code:fastapi/routing.py:app:137,1
code:fastapi/routing.py:app:140,1
code:fastapi/routing.py:app:315,1
code:fastapi/routing.py:app:441,1
code:fastapi/routing.py:app:99,1
code:fastapi/routing.py:decorator:1068,1
code:fastapi/routing.py:decorator:1180,1
code:fastapi/routing.py:decorator:1191,1
code:fastapi/routing.py:decorator:4510,1
code:fastapi/routing.py:decorator:944,1
code:fastapi/routing.py:delete:2582,1
code:fastapi/routing.py:get:1441,1
code:fastapi/routing.py:get_request_handler:292,1
code:fastapi/routing.py:get_route_handler:646,1
code:fastapi/routing.py:get_websocket_app:436,1
code:fastapi/routing.py:head:3336,1
code:fastapi/routing.py:include_router:1197,1
code:fastapi/routing.py:matches:496,1
code:fastapi/routing.py:matches:663,1
code:fastapi/routing.py:merged_lifespan:204,1
code:fastapi/routing.py:on_event:4482,1
code:fastapi/routing.py:options:2959,1
code:fastapi/routing.py:patch:3718,1
code:fastapi/routing.py:post:2200,1
code:fastapi/routing.py:put:1818,1
code:fastapi/routing.py:request_response:88,1
code:fastapi/routing.py:route:937,1
code:fastapi/routing.py:run_endpoint_function:279,1
code:fastapi/routing.py:serialize_response:218,1
code:fastapi/routing.py:trace:4100,1
code:fastapi/routing.py:websocket:1121,1
code:fastapi/routing.py:websocket_route:1188,1
code:fastapi/routing.py:websocket_session:129,1
code:fastapi/security/api_key.py:APIKeyBase:10,1
code:fastapi/security/api_key.py:APIKeyCookie:202,1
code:fastapi/security/api_key.py:APIKeyHeader:114,1
code:fastapi/security/api_key.py:APIKeyQuery:22,1
code:fastapi/security/api_key.py:__call__:109,1
code:fastapi/security/api_key.py:__call__:197,1
code:fastapi/security/api_key.py:__call__:285,1
code:fastapi/security/api_key.py:__init__:146,1
code:fastapi/security/api_key.py:__init__:234,1
code:fastapi/security/api_key.py:__init__:54,1
code:fastapi/security/api_key.py:check_api_key:11,1
code:fastapi/security/base.py:SecurityBase:3,1
code:fastapi/security/http.py:HTTPAuthorizationCredentials:28,1
code:fastapi/security/http.py:HTTPBase:68,1
code:fastapi/security/http.py:HTTPBasic:96,1
code:fastapi/security/http.py:HTTPBasicCredentials:15,1
code:fastapi/security/http.py:HTTPBearer:219,1
code:fastapi/security/http.py:HTTPDigest:323,1
code:fastapi/security/http.py:__call__:186,1
code:fastapi/security/http.py:__call__:300,1
code:fastapi/security/http.py:__call__:402,1
code:fastapi/security/http.py:__call__:81,1
code:fastapi/security/http.py:__init__:129,1
code:fastapi/security/http.py:__init__:251,1
code:fastapi/security/http.py:__init__:355,1
code:fastapi/security/http.py:__init__:69,1
code:fastapi/security/oauth2.py:OAuth2:307,1
code:fastapi/security/oauth2.py:OAuth2AuthorizationCodeBearer:502,1
code:fastapi/security/oauth2.py:OAuth2PasswordBearer:390,1
code:fastapi/security/oauth2.py:OAuth2PasswordRequestForm:15,1
code:fastapi/security/oauth2.py:OAuth2PasswordRequestFormStrict:151,1
code:fastapi/security/oauth2.py:SecurityScopes:612,1
code:fastapi/security/oauth2.py:__call__:378,1
code:fastapi/security/oauth2.py:__call__:487,1
code:fastapi/security/oauth2.py:__call__:597,1
code:fastapi/security/oauth2.py:__init__:215,1
code:fastapi/security/oauth2.py:__init__:320,1
code:fastapi/security/oauth2.py:__init__:399,1
code:fastapi/security/oauth2.py:__init__:508,1
code:fastapi/security/oauth2.py:__init__:60,1
code:fastapi/security/oauth2.py:__init__:625,1
code:fastapi/security/open_id_connect_url.py:OpenIdConnect:10,1
code:fastapi/security/open_id_connect_url.py:__call__:74,1
code:fastapi/security/open_id_connect_url.py:__init__:16,1
code:fastapi/security/utils.py:get_authorization_scheme_param:3,0
code:fastapi/utils.py:create_cloned_field:108,0
code:fastapi/utils.py:create_model_field:62,0
code:fastapi/utils.py:deep_dict_update:187,0
code:fastapi/utils.py:generate_operation_id_for_path:164,0
code:fastapi/utils.py:generate_unique_id:179,0
code:fastapi/utils.py:get_path_param_names:58,0
code:fastapi/utils.py:get_value_or_default:205,0
code:fastapi/utils.py:is_body_allowed_for_status_code:41,0
file:fastapi/applications.py,1
file:fastapi/encoders.py,1
file:fastapi/exception_handlers.py,1
file:fastapi/exceptions.py,1
file:fastapi/logger.py,1
file:fastapi/middleware/__init__.py,1
file:fastapi/middleware/asyncexitstack.py,1
file:fastapi/middleware/cors.py,1
file:fastapi/middleware/gzip.py,1
file:fastapi/middleware/httpsredirect.py,1
file:fastapi/middleware/trustedhost.py,1
file:fastapi/middleware/wsgi.py,1
file:fastapi/openapi/__init__.py,1
file:fastapi/openapi/constants.py,1
file:fastapi/openapi/docs.py,1
file:fastapi/openapi/models.py,1
file:fastapi/openapi/utils.py,0
file:fastapi/param_functions.py,1
file:fastapi/params.py,1
file:fastapi/requests.py,1
file:fastapi/responses.py,1
file:fastapi/routing.py,1
file:fastapi/security/__init__.py,1
file:fastapi/security/api_key.py,1
file:fastapi/security/base.py,1
file:fastapi/security/http.py,1
file:fastapi/security/oauth2.py,1
file:fastapi/security/open_id_connect_url.py,1
file:fastapi/security/utils.py,0
file:fastapi/staticfiles.py,1
file:fastapi/templating.py,1
file:fastapi/testclient.py,1
file:fastapi/types.py,1
file:fastapi/utils.py,0
file:fastapi/websockets.py,1
folder:fastapi,1
folder:fastapi/middleware,1
folder:fastapi/openapi,1
folder:fastapi/security,1
workspace:root,1
